2019-01-22 23:27:12 status half-configured libgnutls30:amd64 3.5.8-5+deb9u4
2019-01-22 23:27:12 status installed libgnutls30:amd64 3.5.8-5+deb9u4
2019-01-22 23:27:12 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1 <none>
2019-01-22 23:27:12 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2019-01-22 23:27:12 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2019-01-22 23:27:12 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2019-01-22 23:27:12 configure libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2 <none>
2019-01-22 23:27:12 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:12 status half-configured libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:12 status installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:12 configure libkrb5-3:amd64 1.15-1+deb9u1 <none>
2019-01-22 23:27:12 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2019-01-22 23:27:12 status half-configured libkrb5-3:amd64 1.15-1+deb9u1
2019-01-22 23:27:12 status installed libkrb5-3:amd64 1.15-1+deb9u1
2019-01-22 23:27:12 configure libgssapi-krb5-2:amd64 1.15-1+deb9u1 <none>
2019-01-22 23:27:12 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2019-01-22 23:27:12 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2019-01-22 23:27:12 status half-configured libgssapi-krb5-2:amd64 1.15-1+deb9u1
2019-01-22 23:27:12 status installed libgssapi-krb5-2:amd64 1.15-1+deb9u1
2019-01-22 23:27:12 configure libcurl3-gnutls:amd64 7.52.1-5+deb9u8 <none>
2019-01-22 23:27:12 status unpacked libcurl3-gnutls:amd64 7.52.1-5+deb9u8
2019-01-22 23:27:12 status half-configured libcurl3-gnutls:amd64 7.52.1-5+deb9u8
2019-01-22 23:27:12 status installed libcurl3-gnutls:amd64 7.52.1-5+deb9u8
2019-01-22 23:27:12 configure apt-transport-https:amd64 1.4.9 <none>
2019-01-22 23:27:12 status unpacked apt-transport-https:amd64 1.4.9
2019-01-22 23:27:12 status half-configured apt-transport-https:amd64 1.4.9
2019-01-22 23:27:12 status installed apt-transport-https:amd64 1.4.9
2019-01-22 23:27:12 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2019-01-22 23:27:12 status half-configured libc-bin:amd64 2.24-11+deb9u3
2019-01-22 23:27:12 status installed libc-bin:amd64 2.24-11+deb9u3
2019-01-22 23:27:12 trigproc ca-certificates:all 20161130+nmu1+deb9u1 <none>
2019-01-22 23:27:12 status half-configured ca-certificates:all 20161130+nmu1+deb9u1
2019-01-22 23:27:13 status installed ca-certificates:all 20161130+nmu1+deb9u1
2019-01-22 23:27:14 startup packages remove
2019-01-22 23:27:14 status installed gnupg1:amd64 1.4.21-4+deb9u1
2019-01-22 23:27:14 remove gnupg1:amd64 1.4.21-4+deb9u1 <none>
2019-01-22 23:27:14 status half-configured gnupg1:amd64 1.4.21-4+deb9u1
2019-01-22 23:27:14 status half-installed gnupg1:amd64 1.4.21-4+deb9u1
2019-01-22 23:27:14 status config-files gnupg1:amd64 1.4.21-4+deb9u1
2019-01-22 23:27:14 status config-files gnupg1:amd64 1.4.21-4+deb9u1
2019-01-22 23:27:14 status config-files gnupg1:amd64 1.4.21-4+deb9u1
2019-01-22 23:27:14 status not-installed gnupg1:amd64 <none>
2019-01-22 23:27:14 status installed libreadline7:amd64 7.0-3
2019-01-22 23:27:14 remove libreadline7:amd64 7.0-3 <none>
2019-01-22 23:27:14 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2019-01-22 23:27:14 status half-configured libreadline7:amd64 7.0-3
2019-01-22 23:27:14 status half-installed libreadline7:amd64 7.0-3
2019-01-22 23:27:14 status config-files libreadline7:amd64 7.0-3
2019-01-22 23:27:14 status config-files libreadline7:amd64 7.0-3
2019-01-22 23:27:14 status config-files libreadline7:amd64 7.0-3
2019-01-22 23:27:14 status not-installed libreadline7:amd64 <none>
2019-01-22 23:27:14 status installed readline-common:all 7.0-3
2019-01-22 23:27:14 remove readline-common:all 7.0-3 <none>
2019-01-22 23:27:14 status half-configured readline-common:all 7.0-3
2019-01-22 23:27:14 status half-installed readline-common:all 7.0-3
2019-01-22 23:27:14 status config-files readline-common:all 7.0-3
2019-01-22 23:27:14 status config-files readline-common:all 7.0-3
2019-01-22 23:27:14 startup packages configure
2019-01-22 23:27:14 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2019-01-22 23:27:14 status half-configured libc-bin:amd64 2.24-11+deb9u3
2019-01-22 23:27:14 status installed libc-bin:amd64 2.24-11+deb9u3
2019-01-22 23:27:14 startup packages purge
2019-01-22 23:27:14 purge readline-common:all 7.0-3 <none>
2019-01-22 23:27:14 status config-files readline-common:all 7.0-3
2019-01-22 23:27:14 status config-files readline-common:all 7.0-3
2019-01-22 23:27:14 status config-files readline-common:all 7.0-3
2019-01-22 23:27:14 status config-files readline-common:all 7.0-3
2019-01-22 23:27:14 status config-files readline-common:all 7.0-3
2019-01-22 23:27:14 status not-installed readline-common:all <none>
2019-01-22 23:27:14 startup packages configure
2019-01-22 23:27:21 startup archives unpack
2019-01-22 23:27:21 install libxau6:amd64 <none> 1:1.0.8-1
2019-01-22 23:27:21 status half-installed libxau6:amd64 1:1.0.8-1
2019-01-22 23:27:21 status unpacked libxau6:amd64 1:1.0.8-1
2019-01-22 23:27:21 status unpacked libxau6:amd64 1:1.0.8-1
2019-01-22 23:27:21 install gettext-base:amd64 <none> 0.19.8.1-2
2019-01-22 23:27:21 status half-installed gettext-base:amd64 0.19.8.1-2
2019-01-22 23:27:21 status unpacked gettext-base:amd64 0.19.8.1-2
2019-01-22 23:27:21 status unpacked gettext-base:amd64 0.19.8.1-2
2019-01-22 23:27:21 install libbsd0:amd64 <none> 0.8.3-1
2019-01-22 23:27:21 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2019-01-22 23:27:21 status half-installed libbsd0:amd64 0.8.3-1
2019-01-22 23:27:21 status unpacked libbsd0:amd64 0.8.3-1
2019-01-22 23:27:21 status unpacked libbsd0:amd64 0.8.3-1
2019-01-22 23:27:21 install libncurses5:amd64 <none> 6.0+20161126-1+deb9u2
2019-01-22 23:27:21 status half-installed libncurses5:amd64 6.0+20161126-1+deb9u2
2019-01-22 23:27:21 status unpacked libncurses5:amd64 6.0+20161126-1+deb9u2
2019-01-22 23:27:21 status unpacked libncurses5:amd64 6.0+20161126-1+deb9u2
2019-01-22 23:27:21 install libedit2:amd64 <none> 3.1-20160903-3
2019-01-22 23:27:21 status half-installed libedit2:amd64 3.1-20160903-3
2019-01-22 23:27:21 status unpacked libedit2:amd64 3.1-20160903-3
